COMPET,VAR_0001_SITUACAO,CO_GRUPO_E_CARGO,NO_CARGO,SG_ESCOLARIDADE_CARGO,CO_CLASSE,PDMATRIZ,CO_PADRAO,NC,PADRAO,PERCENT_IQ,QTD_SERV
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P14,109,1,9,,2
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P15,308,3,8,,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P17,112,1,12,,2
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P17,112,1,12,25,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P18,113,1,13,,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P19,114,1,14,,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P20,115,1,15,,2
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P20,214,2,14,,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P21,116,1,16,,4
202402,ATIVO,701600,ACOUGUEIRO,NA,B,P21,116,1,16,,2
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P22,216,2,16,,3
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P23,316,3,16,,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P23,316,3,16,15,2
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P23,316,3,16,20,1
202402,ATIVO,701600,ACOUGUEIRO,NA,B,P23,316,3,16,,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,,2
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,10,1
202402,APOSENTADO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,15,4
202402,ATIVO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,,7
202402,ATIVO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,20,1
202402,ATIVO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,25,1
202402,ATIVO,701600,ACOUGUEIRO,NA,B,P24,416,4,16,30,1
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P10,105,1,5,,1
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P13,108,1,8,,1
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P15,110,1,10,,2
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P16,111,1,11,,1
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P17,112,1,12,,2
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P18,113,1,13,,2
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P20,115,1,15,,1
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P21,116,1,16,,4
202402,INST_PENSAO,701600,ACOUGUEIRO,NA,B,P22,216,2,16,,2
202402,APOSENTADO,701406,ADERECISTA,NI,C,P22,112,1,12,,1
202402,APOSENTADO,701406,ADERECISTA,NI,C,P27,216,2,16,25,1
202402,INST_PENSAO,701406,ADERECISTA,NI,C,P23,113,1,13,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,,53
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,30,234
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,35,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,52,70
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,75,9
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P32,102,1,2,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P32,102,1,2,30,16
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P32,102,1,2,52,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P32,201,2,1,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P33,103,1,3,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P33,103,1,3,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P33,103,1,3,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P33,103,1,3,30,3
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P33,202,2,2,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P33,202,2,2,,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P33,202,2,2,30,151
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P33,202,2,2,52,25
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P33,202,2,2,75,3
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P34,104,1,4,,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P34,104,1,4,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P34,104,1,4,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P34,104,1,4,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P34,203,2,3,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P34,203,2,3,30,10
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P34,203,2,3,52,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P34,302,3,2,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P34,302,3,2,52,5
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P35,105,1,5,,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P35,105,1,5,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,105,1,5,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,204,2,4,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,204,2,4,30,17
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,204,2,4,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P35,303,3,3,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,303,3,3,,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,303,3,3,30,109
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,303,3,3,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,303,3,3,52,41
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,303,3,3,75,5
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P35,402,4,2,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,402,4,2,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P35,402,4,2,52,1
