Padrão,Vencimento Básico Atual,Vencimento Básico,Degrau,A,,,,,,,,,B,,,,,,,E,,,,E-M,,,,
P01,"1446,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,"1502,52",,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,"1561,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,"1622,01",,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,"1685,26",,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,"1750,99",,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,"1819,28",,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,"1890,22",,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,"1963,95",,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,"2040,55",,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,"2120,13",,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,"2202,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,"2288,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,"2377,98",,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,"2470,71",,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,"2567,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,"2667,19",,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,"2771,22",,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,"2879,29",,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,"2991,58",,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,"3108,25",,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,"3229,47",,,,,,,,,,,,,,,,,,,,,,,,,,,
P23,"3355,42",,,,,,,,,,,,,,,,,,,,,,,,,,,
P24,"3486,29",,,,,,,,,,,,,,,,,,,,,,,,,,,
P25,"3622,26",,,,,,,,,,,,,,,,,,,,,,,,,,,
P26,"3763,52","3638,55","3,9%",A101,,,,,,,,,,,,,,,,,,,,,,,,A101
P27,"3910,3","3780,46","3,9%",A102,A201,,,,,,,,,,,,,,,,,,,,,,,"A102, A201"
P28,"4062,8","3927,9","3,9%",A103,A202,A301,,,,,,,,,,,,,,,,,,,,,,"A103, A202, A301"
P29,"4221,24","4081,08","3,9%",A104,A203,A302,A401,,,,,,,,,,,,,,,,,,,,,"A104, A203, A302, A401"
P30,"4385,88","4240,25","3,9%",A105,A204,A303,A402,,,,,,,,,,,,,,,,,,,,,"A105, A204, A303, A402"
P31,"4556,92","4405,62","3,9%",A106,A205,A304,A403,,,,,,,,,,,,,,,,,,,,,"A106, A205, A304, A403"
P32,"4734,64","4577,43","3,9%",A107,A206,A305,A404,B101,,,,,,,,,,,,,,,,,,,,"A107, A206, A305, A404, B101"
P33,"4919,3","4755,95","3,9%",A108,A207,A306,A405,B102,B201,,,,,,,,,,,,,,,,,,,"A108, A207, A306, A405, B102, B201"
P34,"5111,15","4941,43","3,9%",A109,A208,A307,A406,B103,B202,B301,,,,,,,,,,,,,,,,,,"A109, A208, A307, A406, B103, B202, B301"
P35,"5310,48","5134,15","3,9%",A110,A209,A308,A407,B104,B203,B302,B401,,,,,,,,,,,,,,,,,"A110, A209, A308, A407, B104, B203, B302, B401"
P36,"5517,59","5334,38","3,9%",A111,A210,A309,A408,B105,B204,B303,B402,,,,,,,,,,,,,,,,,"A111, A210, A309, A408, B105, B204, B303, B402"
P37,"5732,78","5542,42","3,9%",A112,A211,A310,A409,B106,B205,B304,B403,,,,,,,,,,,,,,,,,"A112, A211, A310, A409, B106, B205, B304, B403"
P38,"5956,36","5758,57","3,9%",A113,A212,A311,A410,B107,B206,B305,B404,C101,,,,,,,,,,,,,,,,"A113, A212, A311, A410, B107, B206, B305, B404, C101"
P39,"6188,65","5983,16","3,9%",A114,A213,A312,A411,B108,B207,B306,B405,C102,C201,,,,,,,,,,,,,,,"A114, A213, A312, A411, B108, B207, B306, B405, C102, C201"
P40,"6430,01","6216,50","3,9%",A115,A214,A313,A412,B109,B208,B307,B406,C103,C202,C301,,,,,,,,,,,,,,"A115, A214, A313, A412, B109, B208, B307, B406, C103, C202, C301"
P41,"6680,78","6458,95","3,9%",A116,A215,A314,A413,B110,B209,B308,B407,C104,C203,C302,C401,,,,,,,,,,,,,"A116, A215, A314, A413, B110, B209, B308, B407, C104, C203, C302, C401"
P42,"6941,34","6710,84","3,9%",,A216,A315,A414,B111,B210,B309,B408,C105,C204,C303,C402,,,,,,,,,,,,,"A216, A315, A414, B111, B210, B309, B408, C105, C204, C303, C402"
P43,"7212,05","6972,57","3,9%",,,A316,A415,B112,B211,B310,B409,C106,C205,C304,C403,,,,,,,,,,,,,"A316, A415, B112, B211, B310, B409, C106, C205, C304, C403"
P44,"7493,31","7244,50","3,9%",,,,A416,B113,B212,B311,B410,C107,C206,C305,C404,D101,,,,,,,,,,,,"A416, B113, B212, B311, B410, C107, C206, C305, C404, D101"
P45,"7785,55","7527,03","3,9%",,,,,B114,B213,B312,B411,C108,C207,C306,C405,D102,D201,,,,,,,,,,,"B114, B213, B312, B411, C108, C207, C306, C405, D102, D201"
